left_0_x,left_1_x,left_2_x,left_3_x,left_4_x,left_5_x,left_6_x,left_7_x,left_8_x,left_9_x,left_10_x,left_11_x,left_12_x,left_13_x,left_14_x,left_15_x,left_16_x,left_17_x,left_18_x,left_19_x,left_20_x,left_0_y,left_1_y,left_2_y,left_3_y,left_4_y,left_5_y,left_6_y,left_7_y,left_8_y,left_9_y,left_10_y,left_11_y,left_12_y,left_13_y,left_14_y,left_15_y,left_16_y,left_17_y,left_18_y,left_19_y,left_20_y,right_0_x,right_1_x,right_2_x,right_3_x,right_4_x,right_5_x,right_6_x,right_7_x,right_8_x,right_9_x,right_10_x,right_11_x,right_12_x,right_13_x,right_14_x,right_15_x,right_16_x,right_17_x,right_18_x,right_19_x,right_20_x,right_0_y,right_1_y,right_2_y,right_3_y,right_4_y,right_5_y,right_6_y,right_7_y,right_8_y,right_9_y,right_10_y,right_11_y,right_12_y,right_13_y,right_14_y,right_15_y,right_16_y,right_17_y,right_18_y,right_19_y,right_20_y,class_id
427.1944799,444.1427144,451.2691245,427.2778602,478.2553315,424.0022421,496.2822995,433.7223706,505.4940791,448.3105679,490.0934353,417.3157483,524.9649434,415.0456756,547.4639215,413.4642849,564.5959225,411.0824084,488.4629965,430.7627553,518.2599983,454.3994838,507.3069544,459.1268725,495.6246166,453.3876123,482.9938955,447.542315,506.8591318,469.5328858,496.0611005,469.5029337,486.6060848,462.2890946,475.5483556,464.0038064,494.0932879,478.3953357,484.5679798,477.9778144,476.0194583,472.5487903,525.5371904,497.3036857,534.3988638,477.8768554,546.8652301,460.057753,555.193419,441.292622,562.5927753,425.7846472,559.9876971,483.4283558,584.9078479,488.7139888,598.8183365,492.3128394,610.2796636,495.2949188,553.1002779,500.1681947,575.21099,510.9503299,585.947506,516.1175748,593.842865,520.0677595,541.6510429,512.9222592,562.3994899,527.161145,573.8877134,534.603971,583.8667583,539.0204781,527.4093208,521.951425,536.6081042,537.9556311,542.3923535,545.9656956,548.7844105,550.5770632,A
407.5020869,436.5132681,439.2709236,423.6485775,468.8777432,425.2387494,485.2828674,437.897952,493.78703,453.9050477,480.6835334,416.3561738,516.7589679,418.0014156,539.184866,419.8708641,556.2917182,419.7072842,478.0498917,428.3984525,510.2923229,454.661777,499.6139231,464.9206798,488.5339,462.6101297,470.9836936,444.2552135,492.8422852,471.6465915,480.7792518,475.6333445,471.6493449,469.5602481,461.0934749,459.6657754,472.8740222,480.3242639,462.9407959,482.2360803,455.759546,476.9604515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
268.007346,344.0382054,309.0926727,324.8844355,329.5102752,302.5581782,346.3797916,288.1556768,359.391893,278.2309614,288.324786,258.8918996,326.8862736,240.1048425,352.2305584,245.6264243,367.3200562,256.1034853,285.6782032,264.7491984,328.8278368,245.6239894,354.6190927,252.9539585,368.5430632,264.8998669,289.3612688,277.3062542,329.5785881,259.5964964,355.0129948,265.1523122,369.4697696,275.4584954,298.8123167,293.8265879,330.3563516,279.4777019,350.0112516,279.9967145,363.5338809,285.6967221,473.3799551,332.5014003,434.3186915,316.5349949,414.4721251,294.5185722,398.0018969,281.6397998,384.8137387,272.6639697,459.3934643,251.1934403,420.5942737,234.3101923,395.0591354,241.3364138,381.7112213,253.4793503,463.2006152,257.6118747,419.3941935,238.7766563,394.0414941,249.7472857,381.7174002,262.8425407,459.8478948,269.8381561,419.2511042,250.5412171,395.2571434,258.3960911,382.5878059,269.7314123,449.8496116,286.6341636,416.6596433,270.8896947,397.344052,271.1709929,385.856258,276.5608737,B
258.2408309,320.9123135,300.099932,308.5112572,324.0486789,290.6074286,342.6770425,279.944849,355.7940197,271.5523958,289.1829252,243.1999683,323.2253289,227.2177219,346.8711257,234.3798637,359.9876976,247.3208666,285.6932938,246.2120056,324.1853094,228.7667274,348.2304192,237.2690916,359.9692154,250.7089138,288.2259643,256.4011335,324.768877,239.5031929,348.6600494,246.7226744,360.8486199,258.7473154,296.4560795,271.983552,327.4850523,260.4817629,346.9741964,263.4296179,359.4382167,271.4554787,463.402462,329.1160583,431.8075728,314.3567562,412.3063302,293.6767578,396.5977097,280.4466248,382.9935884,270.234108,451.676352,251.8442631,419.0798569,232.9199553,392.7323341,238.9387131,376.5653872,249.6618748,456.356647,256.2131166,416.9971633,234.9430323,390.1147914,242.8915262,375.0303507,254.5196772,453.9529061,267.1236753,415.4808927,247.6665735,390.2555966,252.6828527,374.8586607,261.7206573,444.6069074,283.0865145,411.452136,270.2127695,390.2403975,270.1208115,375.5119824,273.8343,B
225.4196956,424.0777263,253.5240349,424.5256888,273.0403187,414.0045062,283.1542057,405.2295998,284.7318866,398.9122723,267.0155293,361.6533448,276.3042387,343.1961787,282.4684955,328.1926948,284.5956778,315.6271452,259.0428619,361.2109685,291.9412141,366.2059385,290.7982867,378.5969442,281.4869594,382.4462187,250.9074729,368.5396446,280.725837,380.9370279,276.9554532,391.8148394,268.4133468,393.1268392,243.1135699,381.3864101,266.3342155,393.1118032,263.6456926,401.8709753,255.7782284,402.8378908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
221.8566908,333.2583378,251.3042793,330.8512379,273.1222098,317.3145041,292.7005433,310.4879203,311.4869223,310.4362796,261.6477969,266.1975156,275.5456615,241.0337825,289.6102393,226.8286305,300.3455113,216.6105705,251.5609241,264.8944744,289.2325029,272.7782592,285.4407738,292.0113254,274.4841818,296.361707,243.3509326,271.9985733,276.7166443,287.5281762,271.0129984,301.5539283,260.9590787,300.8709585,236.4954124,284.4853479,261.1123136,297.3110017,257.7908943,307.5980512,248.3382484,306.5935964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
412.2476747,470.9012438,390.4791641,450.2574394,361.1374562,434.3320955,335.1109242,434.1569438,315.3225262,434.665341,371.0018775,404.241351,358.7067664,374.6986171,351.6273078,353.2982282,350.614102,335.2067371,373.6343143,413.1191636,333.3399516,406.1944801,326.7955695,423.7524495,333.3217536,434.8809795,375.7521473,430.9510356,337.7131617,439.7317415,340.865693,451.8723905,352.4653577,452.8937577,377.694746,451.471941,345.0700616,460.4141318,347.8703593,469.324005,358.8293676,468.5500287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
423.2780759,413.2987878,394.8778118,394.1639982,369.700743,374.7116999,348.8779737,364.9148998,333.1707739,357.6939783,384.0894921,339.6235319,376.0440238,309.3012825,371.0383283,286.6514127,370.2335572,268.1580144,390.5540453,346.1580694,350.0369203,339.0240719,344.8728418,357.2749912,352.4934266,368.8096706,393.3762004,361.5640319,356.8542663,367.6005627,358.0330201,380.5349355,367.7559357,383.7983775,394.400869,380.4864547,363.4958886,388.9973606,363.6798715,399.85479,371.6644607,402.1431968,240.8462593,350.7087355,274.4212902,347.7421753,300.7057695,333.9744958,321.2872644,325.9187618,341.2302942,323.1828617,291.1122175,283.0299861,318.2442775,269.7865862,340.1510997,264.8841837,357.1710323,263.3439664,278.5823946,282.138387,315.523812,298.0743254,311.4976583,319.7397749,300.8134385,326.292179,267.7874413,291.5772275,302.0171943,309.7364298,296.5066576,326.6231129,285.9770463,329.0292335,258.5312287,306.8303953,285.5732593,321.3054121,281.4313829,333.4163147,270.9778425,334.2440006,D
545.2214592,514.7083001,533.9327395,481.3110796,511.2653339,446.431792,495.0613654,417.6984776,489.1016436,391.3829422,507.0704262,444.4082366,479.0576613,413.0920854,460.6032264,393.2167647,445.7112737,376.7785629,501.2603137,460.266564,470.7412326,433.1561183,447.0269108,419.7737379,427.3608541,409.8210188,496.9373503,484.3125272,467.425307,463.5154414,445.0222156,450.6796517,426.9400806,439.1365365,494.2138846,512.8881103,470.2003005,506.0456911,452.5921683,502.4932307,435.8281138,499.1448685,307.7356095,486.0018325,320.5677617,454.0907087,354.4009577,432.0080397,386.7517605,425.2527809,409.2703421,424.209839,348.99541,413.6538788,382.2714214,394.7013177,406.4295101,381.9756887,425.1763573,373.2253698,352.5668364,433.399597,411.5686276,434.9595616,410.0984073,448.157992,399.2850866,454.2262509,355.3899325,458.7802056,408.3384361,463.4391401,395.0680583,471.46266,378.1361568,472.0265467,356.1955715,485.8029675,397.9618142,486.6823169,386.4675071,490.4445798,370.3476584,489.656342,E
252.3985068,452.5743746,267.2596934,419.2373696,299.8052648,395.5016058,332.3130288,385.2836227,356.6690413,383.6294864,297.6060589,378.9410183,333.705704,357.9918456,359.6794711,345.1584005,379.7649149,336.0102653,300.217315,397.341961,358.9759129,398.817966,379.8278537,411.6367347,390.6155714,420.9032625,302.3330639,422.5380199,358.6668351,425.7466589,375.8649187,434.9905779,383.8430972,440.474927,303.7581111,449.3486304,347.544848,448.8514438,359.9829329,452.8621134,365.7860541,455.4563102,500.3975989,485.7607663,490.2648613,451.0753732,468.3843995,412.6631736,452.8865046,382.4091545,448.1252624,355.8522275,461.0368521,411.0763985,431.6814008,378.3317179,412.8391678,358.0142993,397.3255883,341.130264,453.6936369,428.502683,419.6846895,401.7505453,394.985061,387.9320031,374.3898093,377.6547462,447.5546017,452.6689439,414.2952231,431.8928382,390.308018,419.8967451,371.6227106,410.3067696,443.3001588,480.4534117,414.3898919,471.1446894,394.4522679,466.0203239,376.7001709,461.7058439,E
